County,Divorced
Alameda County,110324
Butte County,20345
Contra Costa County,77998
El Dorado County,17920
Fresno County,69043
Humboldt County,15033
Imperial County,12931
Kern County,59499
Kings County,9953
Lake County,7927
Los Angeles County,648934
Madera County,15304
Marin County,25474
Mendocino County,10591
Merced County,15111
Monterey County,28122
Napa County,11971
Nevada County,12609
Orange County,229986
Placer County,31744
Riverside County,172536
Sacramento County,129915
San Benito County,4301
San Bernardino County,157619
San Diego County,257978
San Francisco County,57039
San Joaquin County,55792
San Luis Obispo County,24142
San Mateo County,45663
Santa Barbara County,35399
Santa Clara County,109195
Santa Cruz County,20669
Shasta County,24960
Solano County,39026
Sonoma County,46281
Stanislaus County,39582
Sutter County,8499
Tehama County,8471
Tulare County,34428
Ventura County,67201
Yolo County,14814
Yuba County,7271
